5.000000000000000278e-02 1.020006500503068125e-01 6.325671774740108597e-04
1.499999999999999944e-01 9.034811589754079830e-02 1.159926798244525093e-03
2.500000000000000000e-01 7.591050725720287218e-02 6.316517252655737269e-04
3.499999999999999778e-01 5.817462417883458026e-02 7.334233034064596528e-04
4.500000000000000111e-01 3.613661226721598396e-02 1.220033158235544167e-03
5.500000000000000444e-01 1.562188805996949335e-02 6.858105725094924181e-04
6.500000000000000222e-01 -6.332074893887626281e-03 9.398731852212447325e-04
7.500000000000000000e-01 -2.275831274805088789e-02 4.726291053514544119e-04
8.499999999999999778e-01 -2.896984387945877870e-02 8.344097437845902736e-04
9.000000000000000222e-01 -2.576180912753221058e-02 5.921907491577177744e-04
9.499999999999999556e-01 -1.697507940583101518e-02 4.721908421789480434e-04
9.899999999999999911e-01 -4.842786782496048825e-03 5.564239047478071725e-04
